,country,continent,life_expectancy,population,gdp,per_capita_gdp
68,Guinea-Bissau,Africa,51.468,1240655,784093960,632.0
69,Guyana,S. America,63.29,733101,2302670241,3141.0
70,Haiti,N. America,57.46,8645371,11619378624,1344.0
71,Honduras,N. America,70.482,6218151,19232741043,3093.0
72,"Hong Kong, China",Asia,80.361,6783317,203309577124,29972.0
73,Hungary,Europe,71.86,10210545,138781727640,13592.0
74,Iceland,Europe,79.72,281210,8743381320,31092.0
75,India,Asia,62.129,1053898107,1736824080336,1648.0
76,Indonesia,Asia,67.289,213395411,579155145454,2714.0
77,Iran,Asia,69.611,65342319,561943943400,8600.0
78,Iraq,Asia,70.845,23857458,94260816558,3951.0
79,Ireland,Europe,76.66,3803780,117259126060,30827.0
80,Israel,Asia,78.75,6014953,137345436802,22834.0
81,Italy,Europe,79.73,56986329,1547748695640,27160.0
82,Jamaica,N. America,70.479,2581648,17901147232,6934.0
83,Japan,Asia,81.35,125720310,3590446333290,28559.0
84,Jordan,Asia,71.72399999999998,4827096,17686479744,3664.0
85,Kazakhstan,Asia,63.51300000000001,14956694,80257620004,5366.0
86,Kenya,Africa,52.864,31253701,41192377918,1318.0
87,Kiribati,Oceania,64.642,84010,294119010,3501.0
88,"Korea, Dem. Rep.",Asia,65.271,22894095,38668126455,1689.0
89,"Korea, Rep.",Asia,76.11399999999998,45987624,781559669880,16995.0
90,Kuwait,Asia,73.133,1940786,70638788042,36397.0
91,Kyrgyzstan,Asia,66.232,4954850,7566055950,1527.0
92,Laos,Asia,61.68899999999999,5317060,8071297080,1518.0
93,Latvia,Europe,70.16,2384972,20627622828,8649.0
94,Lebanon,Asia,74.40899999999998,3742329,21686796555,5795.0
95,Lesotho,Africa,47.265,1963878,2329159308,1186.0
96,Liberia,Africa,52.424,2847290,1477743510,519.0
97,Libya,Africa,71.872,5231189,47807836271,9139.0
98,Lithuania,Europe,72.18,3500028,33708769668,9631.0
99,Luxembourg,Europe,77.82,435491,27838326684,63924.0
100,"Macao, China",Asia,77.627,431867,9722189904,22512.0
101,"Macedonia, FYR",Europe,73.244,2009091,14013409725,6975.0
102,Madagascar,Africa,58.485,15364272,15779107344,1027.0
103,Malawi,Africa,46.04,11228756,8006103028,713.0
104,Malaysia,Asia,72.81,23414909,237918890349,10161.0
105,Maldives,Asia,69.279,273236,938019188,3433.0
106,Mali,Africa,49.06100000000001,11295324,9646206696,854.0
107,Malta,Europe,77.36399999999998,397420,8058087920,20276.0
108,Mauritania,Africa,59.729,2642743,4069824220,1540.0
109,Mauritius,Africa,71.202,1196027,9915063830,8290.0
110,Mexico,N. America,74.38,99959594,1088959817036,10894.0
111,"Micronesia, Fed. Sts.",Oceania,67.3,107103,592279590,5530.0
